subject_code,subject_name,term,day,period,instructors,class_id,status,note(特筆事項)
CHI201z,中国語第二,後学期,月,3,中村　孝子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,3,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,3,石野　智大,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,3,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,4,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI202z,選択中国語第二,後学期,木,2,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI202z,選択中国語第二,後学期,木,2,李　偉,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI202z,選択中国語第二,後学期,木,2,千葉　偉一,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI202z,選択中国語第二,後学期,木,5,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI301z,中国語演習,前学期,月,4,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI301z,中国語演習,前学期,月,4,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI301z,中国語演習,前学期,木,1,千葉　偉一,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI301z,中国語演習,前学期,木,1,李　偉,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI401z,中国語運用演習,後学期,月,4,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI401z,中国語運用演習,後学期,月,4,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI401z,中国語運用演習,後学期,木,1,千葉　偉一,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI401z,中国語運用演習,後学期,木,1,李　偉,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHM102z,化学概論第一,前学期,月,2,山北　佳宏,クラス3,filled,
CHM102z,化学概論第一,前学期,月,2,加固　昌寛,クラス5,filled,
CHM102z,化学概論第一,前学期,火,1,池田　佑美,クラス1,filled,
CHM102z,化学概論第一,前学期,火,2,平野　誉,クラス7,filled,
CHM102z,化学概論第一,前学期,火,2,山登　正文,クラス6,filled,
CHM102z,化学概論第一,前学期,火,4,牧　昌次郎,クラス8,filled,
CHM102z,化学概論第一,前学期,火,4,安井　正憲,,unresolved,時間割画像の火4限枠で担当教員「安井　正憲」の表記を確認できず、自動判定不可(要個別確認)
CHM102z,化学概論第一,前学期,火,4,田仲　真紀子,クラス10,filled,
CHM102z,化学概論第一,前学期,火,4,三輪　寛子,クラス11,filled,
CHM102z,化学概論第一,前学期,火,4,桑原　大介,クラス12,filled,
CHM102z,化学概論第一,前学期,木,1,池田　佑美,,unresolved,時間割画像の木1限枠で担当教員「池田　佑美」の表記を確認できず、自動判定不可(要個別確認)
CHM102z,化学概論第一,前学期,金,2,石田　尚行,"クラス2,クラス12",filled,
CHM401m,基礎物理化学,後学期,火,2,安井　正憲,,unresolved,時間割画像の火2限枠で担当教員「安井　正憲」の表記を確認できず、自動判定不可(要個別確認)
CHM401m,基礎物理化学,後学期,火,2,平田　修造,"物理工学プログラム,化学生命工学プログラム",filled,
CHM401n,基礎物理化学,後学期,火,2,安井　正憲,,unresolved,時間割画像の火2限枠で担当教員「安井　正憲」の表記を確認できず、自動判定不可(要個別確認)
CHM401n,基礎物理化学,後学期,火,2,平田　修造,"物理工学プログラム,化学生命工学プログラム",filled,
CHM401p,基礎物理化学,後学期,火,2,安井　正憲,,unresolved,時間割画像の火2限枠で担当教員「安井　正憲」の表記を確認できず、自動判定不可(要個別確認)
CHM401p,基礎物理化学,後学期,火,2,平田　修造,"物理工学プログラム,化学生命工学プログラム",filled,
CHM401r,基礎物理化学,後学期,火,2,安井　正憲,,unresolved,時間割画像の火2限枠で担当教員「安井　正憲」の表記を確認できず、自動判定不可(要個別確認)
CHM401r,基礎物理化学,後学期,火,2,平田　修造,"物理工学プログラム,化学生命工学プログラム",filled,
COM101z,コンピュータリテラシー,前学期,月,2,廣田・*竹内,,unresolved,時間割画像の月2限枠で担当教員「廣田・*竹内」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,月,2,栗原　正純,クラス9,filled,
COM101z,コンピュータリテラシー,前学期,月,4,柏原　昭博,,unresolved,時間割画像の月4限枠で担当教員「柏原　昭博」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,月,4,田中　基康,クラス6,filled,
COM101z,コンピュータリテラシー,前学期,火,3,高木　正則,クラス3,filled,
COM101z,コンピュータリテラシー,前学期,火,3,戸田　貴久,クラス10,filled,
COM101z,コンピュータリテラシー,前学期,水,1,王(港)・*笹倉,,unresolved,時間割画像の水1限枠で担当教員「王(港)・*笹倉」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,水,1,渡辺（博）・小柏,,unresolved,時間割画像の水1限枠で担当教員「渡辺（博）・小柏」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,水,2,江木　啓訓,,unresolved,時間割画像の水2限枠で担当教員「江木　啓訓」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,水,2,栗原　正純,クラス12,filled,
COM101z,コンピュータリテラシー,前学期,木,3,若月　光夫,,unresolved,時間割画像の木3限枠で担当教員「若月　光夫」の表記を確認できず、自動判定不可(要個別確認)
COM101z,コンピュータリテラシー,前学期,木,4,八木　秀樹,,unresolved,時間割画像の木4限枠で担当教員「八木　秀樹」の表記を確認できず、自動判定不可(要個別確認)
COM201z,基礎プログラミングおよび演習,後学期,月,2,江木・椿本,クラス9,filled,
COM201z,基礎プログラミングおよび演習,後学期,月,2,藤田　秀之,クラス10,filled,
COM201z,基礎プログラミングおよび演習,後学期,月,4,長濱・*竹内,,unresolved,時間割画像の月4限枠で担当教員「長濱・*竹内」の表記を確認できず、自動判定不可(要個別確認)
COM201z,基礎プログラミングおよび演習,後学期,月,4,仲田　佳弘,クラス6,filled,
COM201z,基礎プログラミングおよび演習,後学期,火,2,工藤　俊亮,クラス4,filled,
COM201z,基礎プログラミングおよび演習,後学期,火,4,小宮　常康,クラス11,filled,
COM201z,基礎プログラミングおよび演習,後学期,水,2,橋山　智訓,クラス3,filled,
COM201z,基礎プログラミングおよび演習,後学期,水,2,稲葉・*笹倉,,unresolved,時間割画像の水2限枠で担当教員「稲葉・*笹倉」の表記を確認できず、自動判定不可(要個別確認)
COM201z,基礎プログラミングおよび演習,後学期,木,3,本多　弘樹,クラス7,filled,
COM201z,基礎プログラミングおよび演習,後学期,木,3,渡辺　博芳,クラス8,filled,
COM201z,基礎プログラミングおよび演習,後学期,木,4,織田　健,クラス1,filled,
COM201z,基礎プログラミングおよび演習,後学期,木,4,兼岩　憲,クラス2,filled,
COM202a,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,unresolved,時間割画像の月1限枠で担当教員「水野（統）・宮本・三重野」の表記を確認できず、自動判定不可(要個別確認)
COM202a,情報領域演習第一,後学期,水,1,中鹿・工藤,クラス1,filled,
COM202a,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,unresolved,時間割画像の水1限枠で担当教員「若月・清・小山（大）」の表記を確認できず、自動判定不可(要個別確認)
COM202b,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,unresolved,時間割画像の月1限枠で担当教員「水野（統）・宮本・三重野」の表記を確認できず、自動判定不可(要個別確認)
COM202b,情報領域演習第一,後学期,水,1,中鹿・工藤,クラス1,filled,
COM202b,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,unresolved,時間割画像の水1限枠で担当教員「若月・清・小山（大）」の表記を確認できず、自動判定不可(要個別確認)
COM202c,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,unresolved,時間割画像の月1限枠で担当教員「水野（統）・宮本・三重野」の表記を確認できず、自動判定不可(要個別確認)
COM202c,情報領域演習第一,後学期,水,1,中鹿・工藤,クラス1,filled,
COM202c,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,unresolved,時間割画像の水1限枠で担当教員「若月・清・小山（大）」の表記を確認できず、自動判定不可(要個別確認)
COM202d,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,unresolved,時間割画像の月1限枠で担当教員「水野（統）・宮本・三重野」の表記を確認できず、自動判定不可(要個別確認)
COM202d,情報領域演習第一,後学期,水,1,中鹿・工藤,クラス1,filled,
COM202d,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,unresolved,時間割画像の水1限枠で担当教員「若月・清・小山（大）」の表記を確認できず、自動判定不可(要個別確認)
COM202e,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,unresolved,時間割画像の月1限枠で担当教員「水野（統）・宮本・三重野」の表記を確認できず、自動判定不可(要個別確認)
COM202e,情報領域演習第一,後学期,水,1,中鹿・工藤,クラス1,filled,
COM202e,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,unresolved,時間割画像の水1限枠で担当教員「若月・清・小山（大）」の表記を確認できず、自動判定不可(要個別確認)
COM301a,計算機通論,前学期,月,2,小宮　常康,Bクラス,filled,
COM301a,計算機通論,前学期,木,4,鈴木　貢,Cクラス,filled,
COM301a,計算機通論,前学期,金,2,仲谷　栄伸,,unresolved,時間割画像の金2限枠で担当教員「仲谷　栄伸」の表記を確認できず、自動判定不可(要個別確認)
COM301b,計算機通論,前学期,月,2,小宮　常康,Bクラス,filled,
COM301b,計算機通論,前学期,木,4,鈴木　貢,Cクラス,filled,
COM301b,計算機通論,前学期,金,2,仲谷　栄伸,,unresolved,時間割画像の金2限枠で担当教員「仲谷　栄伸」の表記を確認できず、自動判定不可(要個別確認)
COM301c,計算機通論,前学期,月,2,小宮　常康,Bクラス,filled,
COM301c,計算機通論,前学期,木,4,鈴木　貢,Cクラス,filled,
COM301c,計算機通論,前学期,金,2,仲谷　栄伸,,unresolved,時間割画像の金2限枠で担当教員「仲谷　栄伸」の表記を確認できず、自動判定不可(要個別確認)
COM301d,計算機通論,前学期,月,2,小宮　常康,Bクラス,filled,
COM301d,計算機通論,前学期,木,4,鈴木　貢,Cクラス,filled,
COM301d,計算機通論,前学期,金,2,仲谷　栄伸,,unresolved,時間割画像の金2限枠で担当教員「仲谷　栄伸」の表記を確認できず、自動判定不可(要個別確認)
COM301e,計算機通論,前学期,月,2,小宮　常康,Bクラス,filled,
COM301e,計算機通論,前学期,木,4,鈴木　貢,Cクラス,filled,
COM301e,計算機通論,前学期,金,2,仲谷　栄伸,,unresolved,時間割画像の金2限枠で担当教員「仲谷　栄伸」の表記を確認できず、自動判定不可(要個別確認)
COM301f,数値解析およびプログラミング演習,前学期,水,3,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301f,数値解析およびプログラミング演習,前学期,水,4,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301f,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301f,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301f,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,Mエリア,filled,
COM301f,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,Mエリア,filled,
COM301g,数値解析およびプログラミング演習,前学期,水,3,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301g,数値解析およびプログラミング演習,前学期,水,4,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301g,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301g,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301g,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,Mエリア,filled,
COM301g,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,Mエリア,filled,
COM301h,数値解析およびプログラミング演習,前学期,水,3,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301h,数値解析およびプログラミング演習,前学期,水,4,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301h,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301h,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301h,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,Mエリア,filled,
COM301h,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,Mエリア,filled,
COM301i,数値解析およびプログラミング演習,前学期,水,3,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301i,数値解析およびプログラミング演習,前学期,水,4,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301i,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301i,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301i,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,Mエリア,filled,
COM301i,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,Mエリア,filled,
COM301j,数値解析およびプログラミング演習,前学期,水,3,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301j,数値解析およびプログラミング演習,前学期,水,4,劉　志,"I1クラス,I2クラス,I3クラス",filled,
COM301j,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301j,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,"I4クラス,I5クラス,I6クラス",filled,
COM301j,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,Mエリア,filled,
COM301j,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,Mエリア,filled,
COM301k,数値解析,前学期,月,3,久保木　孝,"Mエリア(1クラス),Mエリア(2クラス)",filled,
COM301k,数値解析,前学期,火,2,舩戸　徹郎,"Mエリア(3クラス),Mエリア(4クラス)",filled,
COM301m,数値解析,前学期,月,3,久保木　孝,"Mエリア(1クラス),Mエリア(2クラス)",filled,
COM301m,数値解析,前学期,火,2,舩戸　徹郎,"Mエリア(3クラス),Mエリア(4クラス)",filled,
COM301n,数値解析,前学期,月,3,久保木　孝,"Mエリア(1クラス),Mエリア(2クラス)",filled,
COM301n,数値解析,前学期,火,2,舩戸　徹郎,"Mエリア(3クラス),Mエリア(4クラス)",filled,
COM301p,数値解析,前学期,月,3,久保木　孝,"Mエリア(1クラス),Mエリア(2クラス)",filled,
COM301p,数値解析,前学期,火,2,舩戸　徹郎,"Mエリア(3クラス),Mエリア(4クラス)",filled,
COM301r,数値解析,前学期,月,3,久保木　孝,"Mエリア(1クラス),Mエリア(2クラス)",filled,
COM301r,数値解析,前学期,火,2,舩戸　徹郎,"Mエリア(3クラス),Mエリア(4クラス)",filled,
COM302a,論理設計学,前学期,木,4,吉永　努,Bクラス,filled,
COM302a,論理設計学,前学期,金,2,三輪　忍,Cクラス,filled,
COM302a,論理設計学,前学期,,,佐藤　証,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
COM302b,論理設計学,前学期,木,4,吉永　努,Bクラス,filled,
COM302b,論理設計学,前学期,金,2,三輪　忍,Cクラス,filled,
COM302b,論理設計学,前学期,,,佐藤　証,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
COM302c,論理設計学,前学期,木,4,吉永　努,Bクラス,filled,
COM302c,論理設計学,前学期,金,2,三輪　忍,Cクラス,filled,
COM302c,論理設計学,前学期,,,佐藤　証,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
COM302d,論理設計学,前学期,木,4,吉永　努,Bクラス,filled,
COM302d,論理設計学,前学期,金,2,三輪　忍,Cクラス,filled,
COM302d,論理設計学,前学期,,,佐藤　証,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
COM302e,論理設計学,前学期,木,4,吉永　努,Bクラス,filled,
COM302e,論理設計学,前学期,金,2,三輪　忍,Cクラス,filled,
COM302e,論理設計学,前学期,,,佐藤　証,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
COM303a,プログラミング通論,前学期,火,3,橋本　直己,Bクラス,filled,
COM303a,プログラミング通論,前学期,火,3,丸山　一貴,Cクラス,filled,
COM303a,プログラミング通論,前学期,水,3,古賀　久志,Aクラス,filled,
COM303b,プログラミング通論,前学期,火,3,橋本　直己,Bクラス,filled,
COM303b,プログラミング通論,前学期,火,3,丸山　一貴,Cクラス,filled,
COM303b,プログラミング通論,前学期,水,3,古賀　久志,Aクラス,filled,
COM303c,プログラミング通論,前学期,火,3,橋本　直己,Bクラス,filled,
COM303c,プログラミング通論,前学期,火,3,丸山　一貴,Cクラス,filled,
COM303c,プログラミング通論,前学期,水,3,古賀　久志,Aクラス,filled,
COM303d,プログラミング通論,前学期,火,3,橋本　直己,Bクラス,filled,
COM303d,プログラミング通論,前学期,火,3,丸山　一貴,Cクラス,filled,
COM303d,プログラミング通論,前学期,水,3,古賀　久志,Aクラス,filled,
COM303e,プログラミング通論,前学期,火,3,橋本　直己,Bクラス,filled,
COM303e,プログラミング通論,前学期,火,3,丸山　一貴,Cクラス,filled,
COM303e,プログラミング通論,前学期,水,3,古賀　久志,Aクラス,filled,
COM304a,情報領域演習第二,前学期,火,4,三重野・関・渕本,,unresolved,火4限の同じクラス/プログラムに別科目「基礎電気回路」も一致してしまい、どちらか(または両方)の判定が誤っている可能性があるため自動採用せず要確認
COM304a,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,Aクラス,filled,
COM304a,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,Bクラス,filled,
COM304b,情報領域演習第二,前学期,火,4,三重野・関・渕本,,unresolved,火4限の同じクラス/プログラムに別科目「基礎電気回路」も一致してしまい、どちらか(または両方)の判定が誤っている可能性があるため自動採用せず要確認
COM304b,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,Aクラス,filled,
COM304b,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,Bクラス,filled,
COM304c,情報領域演習第二,前学期,火,4,三重野・関・渕本,,unresolved,火4限の同じクラス/プログラムに別科目「基礎電気回路」も一致してしまい、どちらか(または両方)の判定が誤っている可能性があるため自動採用せず要確認
COM304c,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,Aクラス,filled,
COM304c,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,Bクラス,filled,
COM304d,情報領域演習第二,前学期,火,4,三重野・関・渕本,,unresolved,火4限の同じクラス/プログラムに別科目「基礎電気回路」も一致してしまい、どちらか(または両方)の判定が誤っている可能性があるため自動採用せず要確認
COM304d,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,Aクラス,filled,
COM304d,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,Bクラス,filled,
COM304e,情報領域演習第二,前学期,火,4,三重野・関・渕本,,unresolved,火4限の同じクラス/プログラムに別科目「基礎電気回路」も一致してしまい、どちらか(または両方)の判定が誤っている可能性があるため自動採用せず要確認
COM304e,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,Aクラス,filled,
COM304e,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,Bクラス,filled,
COM401a,情報領域演習第三,後学期,火,4,小泉　直也,,unresolved,時間割画像の火4限枠で担当教員「小泉　直也」の表記を確認できず、自動判定不可(要個別確認)
COM401a,情報領域演習第三,後学期,木,4,赤池　英夫,,unresolved,時間割画像の木4限枠で担当教員「赤池　英夫」の表記を確認できず、自動判定不可(要個別確認)
COM401a,情報領域演習第三,後学期,木,4,三重野　琢也,,unresolved,時間割画像の木4限枠で担当教員「三重野　琢也」の表記を確認できず、自動判定不可(要個別確認)
COM401b,情報領域演習第三,後学期,火,4,小泉　直也,,unresolved,時間割画像の火4限枠で担当教員「小泉　直也」の表記を確認できず、自動判定不可(要個別確認)
COM401b,情報領域演習第三,後学期,木,4,赤池　英夫,,unresolved,時間割画像の木4限枠で担当教員「赤池　英夫」の表記を確認できず、自動判定不可(要個別確認)
COM401b,情報領域演習第三,後学期,木,4,三重野　琢也,,unresolved,時間割画像の木4限枠で担当教員「三重野　琢也」の表記を確認できず、自動判定不可(要個別確認)
